Day ,Items ,Note ,Amount 
52,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
51,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
50,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
49,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
48,Interest Expense ,Cash Payment - Interest - For Overdraft,-2424
47,Interest Expense ,Cash Payment - Interest - For Overdraft,-2424
46,Interest Expense ,Cash Payment - Interest - For Overdraft,-2424
45,Interest Expense ,Cash Payment - Interest - For Overdraft,-2424
44,Interest Expense ,Cash Payment - Interest - For Overdraft,-3451
43,Interest Expense ,Cash Payment - Interest - For Overdraft,-3451
42,Interest Expense ,Cash Payment - Interest - For Overdraft,-2793
41,Interest Expense ,Cash Payment - Interest - For Overdraft,-2793
40,Interest Expense ,Cash Payment - Interest - For Overdraft,-1477
39,Interest Expense ,Cash Payment - Interest - For Overdraft,-1477
38,Interest Expense ,Cash Payment - Interest - For Overdraft,-1477
37,Interest Expense ,Cash Payment - Interest - For Overdraft,-2504
36,Interest Expense ,Cash Payment - Interest - For Overdraft,-3532
35,Interest Expense ,Cash Payment - Interest - For Overdraft,-3532
34,Interest Expense ,Cash Payment - Interest - For Overdraft,-3532
33,Interest Expense ,Cash Payment - Interest - For Overdraft,-2954
32,Interest Expense ,Cash Payment - Interest - For Overdraft,-3981
31,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
30,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
29,Interest Expense ,Cash Payment - Interest - For Overdraft,-3074
28,Interest Expense ,Cash Payment - Interest - For Overdraft,-4102
27,Interest Expense ,Cash Payment - Interest - For Overdraft,-4102
26,Interest Expense ,Cash Payment - Interest - For Overdraft,-4102
25,Interest Expense ,Cash Payment - Interest - For Overdraft,-4102
24,Interest Expense ,Cash Payment - Interest - For Overdraft,-4094
23,Interest Expense ,Cash Payment - Interest - For Overdraft,-4094
22,Interest Expense ,Cash Payment - Interest - For Overdraft,-4077
21,Interest Expense ,Cash Payment - Interest - For Overdraft,-4045
20,Interest Expense ,Cash Payment - Interest - For Overdraft,-3981
19,Interest Expense ,Cash Payment - Interest - For Overdraft,-3853
18,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
17,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
16,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
15,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
14,Interest Expense ,Cash Payment - Interest - For Overdraft,-1702
13,Interest Expense ,Cash Payment - Interest - For Overdraft,-2729
12,Interest Expense ,Cash Payment - Interest - For Overdraft,-2729
11,Interest Expense ,Cash Payment - Interest - For Overdraft,-3756
10,Interest Expense ,Cash Payment - Interest - For Overdraft,-2697
9,Interest Expense ,Cash Payment - Interest - For Overdraft,-3724
8,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
7,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
6,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
5,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
4,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
3,Interest Expense ,Cash Payment - Interest - For Overdraft,-2055
46,Machines,Asset Disposed,76500
3,Machines,Cash Payment - Machines,-300000
3,Machines,Cash Payment - Machines,-300000
71,Maintenance Expense,Cash Payment - Periodic Maintenance,-7000
5,Maintenance Expense,Cash Payment - Machines ,-30000
4,Maintenance Expense,Cash Payment - Machines ,-30000
87,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
86,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
85,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
75,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
74,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
73,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
72,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
71,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
48,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
47,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
46,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
22,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
21,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
20,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
19,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
18,Marketing Expense,Cash Payment - Marketing Report Subscription,-20000
16,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
16,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
16,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
15,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
15,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
15,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
14,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
14,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
14,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
13,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
13,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
13,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
12,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
12,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
12,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
11,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
11,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
11,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
10,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
10,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
10,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
9,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
9,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
9,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
8,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
8,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
8,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
7,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
7,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
7,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
6,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",-500
6,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",-500
6,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",-500
84,Overdraft,Repayment,-625000
84,Overdraft,Repayment,-615235
79,Overdraft,Repayment,-625000
78,Overdraft,Repayment,-625000
74,Overdraft,Repayment,-625000
73,Overdraft,Repayment,-625000
69,Overdraft,Repayment,-625000
66,Overdraft,Repayment,-625000
62,Overdraft,Repayment,-625000
61,Overdraft,Repayment,-625000
61,Overdraft,Repayment,-625000
60,Overdraft,Repayment,-625000
58,Overdraft,Repayment,-625000
57,Overdraft,Repayment,-625000
57,Overdraft,Repayment,-224610
49,Overdraft,Repayment,-625000
45,Overdraft,Repayment,-625000
38,Overdraft,Repayment,-625000
37,Overdraft,Repayment,-625000
33,Overdraft,Repayment,-625000
31,Overdraft,Repayment,-625000
29,Overdraft,Repayment,-625000
18,Overdraft,Repayment,-625000
14,Overdraft,Repayment,-625000
12,Overdraft,Repayment,-625000
10,Overdraft,Repayment,-625000
8,Overdraft,Repayment,-625000
8,Overdraft,Repayment,-625000
8,Overdraft,Repayment,-625000
81,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-150
79,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-240
45,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-65
44,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-65
43,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-65
42,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-195
41,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-195
40,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-260
39,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-325
38,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-520
37,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-780
36,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-2430
36,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1430
35,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-2520
35,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1560
34,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-2610
34,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1560
33,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-2700
33,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1560
32,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-2820
32,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1690
31,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4550
31,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1690
30,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4550
30,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1690
29,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4620
29,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1820
28,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4620
27,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-2475
27,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4620
26,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-2775
26,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4690
25,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-2925
25,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4760
24,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-3225
24,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4830
23,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-3525
23,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-9590
22,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-3825
22,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-9590
21,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-9590
20,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-9660
19,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-9730
18,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4200
17,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4270
16,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",-4340
12,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-65
11,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-390
10,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,-165
10,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-845
9,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,-363
9,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,-1105
8,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,-462
7,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,-462
6,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-75
6,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,-561
5,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-30
5,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-375
5,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,-561
4,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-210
4,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-675
3,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,-390
3,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-1050
83,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-465
82,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-462
81,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-453
80,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-495
79,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-432
78,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-513
77,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-501
76,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-366
75,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-363
74,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-372
73,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-402
72,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-468
71,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-432
70,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-405
69,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-378
68,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-33
17,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-168
16,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-159
15,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,-558
0,Paid-In Capital, Cash,3500000
41,Penalty Expense,Cash Payment - Late penalty - B2B SO ID: 2773,-96000
37,Penalty Expense,Cash Payment - Late penalty - B2B SO ID: 5569,-7000
29,Penalty Expense,Cash Payment - Late penalty - B2B SO ID: 654,-128000
85,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:15065,-729
81,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:14305,-873
81,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:14318,-2033
80,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:14135,-1514
80,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:14153,-938
79,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:13956,-8935
77,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:13566,-12064
75,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:13185,-1740
71,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:12415,-269
69,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:12057,-6660
68,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:11842,-311
68,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:11884,-407
67,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:11676,-6812
67,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:11693,-3466
66,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:11502,-3225
65,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:11310,-5065
63,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:10945,-2309
60,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:10435,-294
59,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:10240,-517
58,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:10085,-462
57,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:9886,-11825
57,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:9903,-2223
55,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:9538,-3577
54,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:9303,-7902
54,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:9313,-6386
54,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:9327,-384
52,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:8963,-1277
52,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:8974,-3100
51,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:8796,-1004
50,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:8583,-20362
49,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:8388,-6399
49,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:8401,-18121
46,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7842,-1323
46,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7861,-8415
45,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7675,-18176
44,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7480,-6748
43,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7288,-836
43,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7303,-8150
43,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7310,-1469
42,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:7113,-13634
40,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:6722,-15387
40,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:6748,-8574
39,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:6562,-17428
37,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:6121,-21734
36,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:5953,-13914
31,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:4993,-12568
30,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:4812,-1478
29,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:4619,-18238
28,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:4421,-4900
25,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:3871,-18449
20,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:2967,-1048
18,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:2430,-1450
18,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:2619,-1175
17,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:2418,-1730
12,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:1613,-11774
12,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:1621,-11798
9,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:1128,-8554
8,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:951,-9053
7,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:783,-1152
5,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:476,-1468
5,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:489,-1752
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 15590 ,-297024
79,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 13772 ,-162323
74,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 13007 ,-134028
70,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 11869 ,-106800
64,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 11135 ,-362250
62,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 10415 ,-28704
58,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 10080 ,-176528
43,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 6925 ,-846600
32,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 3761 ,-310080
32,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 4045 ,-158760
20,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 2088 ,-141504
20,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 2088 ,-136435
20,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 2088 ,-152486
19,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 1780 ,-142560
19,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 1780 ,-137632
19,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 1780 ,-153824
15,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 879 ,-1402200
9,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 254 ,-900000
9,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 334 ,-181800
9,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 334 ,-206040
9,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 334 ,-230280
5,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 242 ,-180000
5,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 242 ,-204000
5,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 242 ,-228000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 220 ,-180000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 220 ,-204000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 220 ,-228000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 225 ,-1900000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 241 ,-180000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 241 ,-204000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 241 ,-228000
87,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 15265 ,-24000
